,Country,Confirmed,Deaths,Recovered,latitude,longitude
0,Afghanistan,11651049.0,434582.0,8710952.0,33.93911,67.709953
1,Albania,8319315.0,170096.0,4803229.0,41.153332,20.168331
2,Algeria,16779265.0,544860.0,11373181.0,28.033886,1.6596259999999998
3,Andorra,1244594.0,21173.0,1073666.0,42.546245,1.6015540000000001
4,Angola,2472400.0,63488.0,1630357.0,-11.202691999999999,17.873887
5,Antigua and Barbuda,40888.0,1304.0,29966.0,17.060816,-61.796428000000006
6,Argentina,258275331.0,6570698.0,219372611.0,-38.416097,-63.616671999999994
7,Armenia,24198239.0,425486.0,20171923.0,40.069099,45.038189
8,Aruba,19.0,0.0,0.0,12.52111,-69.968338
9,Australia,6760086.0,185668.0,5110321.0,-25.274398,133.775136
10,Austria,45982527.0,795347.0,40121507.0,47.516231,14.550072
11,Azerbaijan,26223276.0,339662.0,22381919.0,40.143105,47.576927000000005
12,Bahamas,1247616.0,27755.0,896933.0,25.03428,-77.39628
13,Bahrain,18995046.0,69370.0,17735216.0,25.930414000000003,50.637772
14,Bangladesh,99720329.0,1436337.0,77491391.0,23.684994,90.35633100000001
15,Barbados,137782.0,2740.0,100730.0,13.193887,-59.543198
16,Belarus,34570843.0,271273.0,30473978.0,53.709807,27.953389
17,Belgium,94777788.0,4147193.0,3797948.0,50.503887,4.469936
18,Belize,1258093.0,28490.0,984241.0,17.189877,-88.49765
19,Benin,698449.0,10625.0,578354.0,9.30769,2.315834
20,Bhutan,102052.0,51.0,85266.0,27.514162,90.433601
21,Bolivia,34761242.0,1835270.0,24279605.0,-16.290154,-63.588653
22,Bosnia and Herzegovina,15086060.0,520129.0,10543901.0,43.915886,17.679076000000002
23,Botswana,2177244.0,11661.0,1603889.0,-22.328474,24.684866
24,Brazil,1417934579.0,40013970.0,1223330101.0,-14.235004,-51.92528
25,Brunei,51553.0,871.0,47414.0,4.535277,114.72766899999999
26,Bulgaria,23891577.0,869495.0,15267586.0,42.733883,25.48583
27,Burkina Faso,1073173.0,22228.0,884749.0,12.238333,-1.561593
28,Burundi,185935.0,415.0,126965.0,-3.3730559999999996,29.918885999999997
29,Cambodia,90970.0,0.0,82358.0,12.565679,104.990963
30,Cameroon,5974442.0,116231.0,5353393.0,7.369722,12.354722
31,Canada,92342090.0,3546173.0,77718450.0,56.130366,-106.34677099999999
32,Cape Verde,1.0,0.0,0.0,16.002082,-24.013197
33,Cayman Islands,3.0,0.0,0.0,19.513469,-80.566956
