,ObservationDate,State,Country,Confirmed,Deaths,Recovered
430,2020-01-30,,India,1.0,0.0,0.0
491,2020-01-31,,India,1.0,0.0,0.0
547,2020-02-01,,India,1.0,0.0,0.0
607,2020-02-02,,India,2.0,0.0,0.0
672,2020-02-03,,India,3.0,0.0,0.0
740,2020-02-04,,India,3.0,0.0,0.0
810,2020-02-05,,India,3.0,0.0,0.0
881,2020-02-06,,India,3.0,0.0,0.0
954,2020-02-07,,India,3.0,0.0,0.0
1026,2020-02-08,,India,3.0,0.0,0.0
1098,2020-02-09,,India,3.0,0.0,0.0
1171,2020-02-10,,India,3.0,0.0,0.0
1243,2020-02-11,,India,3.0,0.0,0.0
1316,2020-02-12,,India,3.0,0.0,0.0
1389,2020-02-13,,India,3.0,0.0,0.0
1463,2020-02-14,,India,3.0,0.0,0.0
1538,2020-02-15,,India,3.0,0.0,0.0
1613,2020-02-16,,India,3.0,0.0,3.0
1688,2020-02-17,,India,3.0,0.0,3.0
1763,2020-02-18,,India,3.0,0.0,3.0
1838,2020-02-19,,India,3.0,0.0,3.0
1915,2020-02-20,,India,3.0,0.0,3.0
1995,2020-02-21,,India,3.0,0.0,3.0
2079,2020-02-22,,India,3.0,0.0,3.0
2163,2020-02-23,,India,3.0,0.0,3.0
2248,2020-02-24,,India,3.0,0.0,3.0
2341,2020-02-25,,India,3.0,0.0,3.0
2438,2020-02-26,,India,3.0,0.0,3.0
2543,2020-02-27,,India,3.0,0.0,3.0
2650,2020-02-28,,India,3.0,0.0,3.0
2771,2020-02-29,,India,3.0,0.0,3.0
2895,2020-03-01,,India,3.0,0.0,3.0
3016,2020-03-02,,India,5.0,0.0,3.0
3162,2020-03-03,,India,5.0,0.0,3.0
3288,2020-03-04,,India,28.0,0.0,3.0
3451,2020-03-05,,India,30.0,0.0,3.0
3624,2020-03-06,,India,31.0,0.0,3.0
3825,2020-03-07,,India,34.0,0.0,3.0
4051,2020-03-08,,India,39.0,0.0,3.0
4308,2020-03-09,,India,43.0,0.0,3.0
4573,2020-03-10,,India,56.0,0.0,4.0
4781,2020-03-11,,India,62.0,1.0,4.0
4996,2020-03-12,,India,73.0,1.0,4.0
5277,2020-03-13,,India,82.0,2.0,4.0
5451,2020-03-14,,India,102.0,2.0,4.0
5699,2020-03-15,,India,113.0,2.0,13.0
5967,2020-03-16,,India,119.0,2.0,13.0
6236,2020-03-17,,India,142.0,3.0,14.0
6514,2020-03-18,,India,156.0,3.0,14.0
6800,2020-03-19,,India,194.0,4.0,15.0
7091,2020-03-20,,India,244.0,5.0,20.0
7382,2020-03-21,,India,330.0,4.0,23.0
7685,2020-03-22,,India,396.0,7.0,24.0
7986,2020-03-23,,India,499.0,10.0,34.0
8284,2020-03-24,,India,536.0,10.0,40.0
8587,2020-03-25,,India,657.0,12.0,43.0
8892,2020-03-26,,India,727.0,20.0,45.0
9202,2020-03-27,,India,887.0,20.0,73.0
9512,2020-03-28,,India,987.0,24.0,84.0
9826,2020-03-29,,India,1024.0,27.0,95.0
10141,2020-03-30,,India,1251.0,32.0,102.0
10457,2020-03-31,,India,1397.0,35.0,123.0
10773,2020-04-01,,India,1998.0,58.0,148.0
11089,2020-04-02,,India,2543.0,72.0,191.0
11407,2020-04-03,,India,2567.0,72.0,192.0
11725,2020-04-04,,India,3082.0,86.0,229.0
12044,2020-04-05,,India,3588.0,99.0,229.0
12365,2020-04-06,,India,4778.0,136.0,375.0
12687,2020-04-07,,India,5311.0,150.0,421.0
13009,2020-04-08,,India,5916.0,178.0,506.0
13331,2020-04-09,,India,6725.0,226.0,620.0
13653,2020-04-10,,India,7598.0,246.0,774.0
13976,2020-04-11,,India,8446.0,288.0,969.0
14299,2020-04-12,,India,9205.0,331.0,1080.0
14621,2020-04-13,,India,10453.0,358.0,1181.0
14943,2020-04-14,,India,11487.0,393.0,1359.0
15265,2020-04-15,,India,12322.0,405.0,1432.0
15587,2020-04-16,,India,13430.0,448.0,1768.0
15909,2020-04-17,,India,14352.0,486.0,2041.0
16231,2020-04-18,,India,15722.0,521.0,2463.0
16553,2020-04-19,,India,17615.0,559.0,2854.0
16875,2020-04-20,,India,18539.0,592.0,3273.0
17197,2020-04-21,,India,20080.0,645.0,3975.0
17519,2020-04-22,,India,21370.0,681.0,4370.0
17840,2020-04-23,,India,23077.0,721.0,5012.0
18162,2020-04-24,,India,24530.0,780.0,5498.0
18481,2020-04-25,,India,26283.0,825.0,5939.0
18800,2020-04-26,,India,27890.0,881.0,6523.0
19119,2020-04-27,,India,29451.0,939.0,7137.0
19442,2020-04-28,,India,31324.0,1008.0,7747.0
19765,2020-04-29,,India,33062.0,1079.0,8437.0
20089,2020-04-30,,India,34863.0,1154.0,9068.0
20414,2020-05-01,,India,37257.0,1223.0,10007.0
20739,2020-05-02,,India,39699.0,1323.0,10819.0
21064,2020-05-03,,India,42505.0,1391.0,11775.0
21389,2020-05-04,,India,46437.0,1566.0,12847.0
21714,2020-05-05,,India,49400.0,1693.0,14142.0
22039,2020-05-06,,India,52987.0,1785.0,15331.0
22364,2020-05-07,,India,56351.0,1889.0,16776.0
22689,2020-05-08,,India,59695.0,1985.0,17887.0
23014,2020-05-09,,India,62808.0,2101.0,19301.0
23339,2020-05-10,,India,67161.0,2212.0,20969.0
23664,2020-05-11,,India,70768.0,2294.0,22549.0
23989,2020-05-12,,India,74292.0,2415.0,24420.0
24314,2020-05-13,,India,78055.0,2551.0,26400.0
24639,2020-05-14,,India,81997.0,2649.0,27969.0
25018,2020-05-15,,India,85784.0,2753.0,30258.0
25397,2020-05-16,,India,90648.0,2871.0,34224.0
25776,2020-05-17,,India,95698.0,3025.0,36795.0
26155,2020-05-18,,India,100328.0,3156.0,39233.0
26534,2020-05-19,,India,106475.0,3302.0,42309.0
26912,2020-05-20,,India,112028.0,3434.0,45422.0
27366,2020-05-21,,India,118226.0,3584.0,48553.0
27820,2020-05-22,,India,124794.0,3726.0,51824.0
28274,2020-05-23,,India,131423.0,3868.0,54385.0
28728,2020-05-24,,India,138536.0,4024.0,57692.0
29182,2020-05-25,,India,144950.0,4172.0,60706.0
29636,2020-05-26,,India,150793.0,4344.0,64277.0
30090,2020-05-27,,India,158086.0,4534.0,67749.0
30543,2020-05-28,,India,165386.0,4711.0,70920.0
31098,2020-05-29,,India,173491.0,4980.0,82627.0
31654,2020-05-30,,India,181827.0,5185.0,86936.0
32211,2020-05-31,,India,190609.0,5408.0,91852.0
32768,2020-06-01,,India,198370.0,5608.0,95754.0
33434,2020-06-02,,India,207191.0,5829.0,100285.0
34099,2020-06-03,,India,216824.0,6088.0,104071.0
34765,2020-06-04,,India,226713.0,6363.0,108450.0
35431,2020-06-05,,India,236184.0,6649.0,113233.0
36117,2020-06-06,,India,246622.0,6946.0,118695.0
36803,2020-06-07,,India,257486.0,7207.0,123848.0
37489,2020-06-08,,India,265928.0,7473.0,129095.0
38175,2020-06-09,,India,276146.0,7750.0,134670.0
38979,2020-06-10,Andaman and Nicobar Islands,India,33.0,0.0,33.0
38980,2020-06-10,Andhra Pradesh,India,5070.0,77.0,2802.0
38996,2020-06-10,Arunachal Pradesh,India,57.0,0.0,1.0
38997,2020-06-10,Assam,India,2937.0,4.0,1085.0
39019,2020-06-10,Bihar,India,5459.0,32.0,2864.0
39052,2020-06-10,Chandigarh,India,323.0,5.0,286.0
39059,2020-06-10,Chhattisgarh,India,1240.0,6.0,386.0
39078,2020-06-10,Dadar Nagar Haveli,India,22.0,0.0,2.0
39082,2020-06-10,Delhi,India,31309.0,905.0,11861.0
39111,2020-06-10,Goa,India,359.0,0.0,67.0
39126,2020-06-10,Gujarat,India,21014.0,1313.0,14365.0
39131,2020-06-10,Haryana,India,5209.0,45.0,2134.0
39138,2020-06-10,Himachal Pradesh,India,445.0,5.0,249.0
39163,2020-06-10,Jammu and Kashmir,India,4346.0,48.0,1506.0
39166,2020-06-10,Jharkhand,India,1411.0,8.0,559.0
39184,2020-06-10,Karnataka,India,5921.0,66.0,2604.0
39187,2020-06-10,Kerala,India,2096.0,16.0,848.0
39212,2020-06-10,Ladakh,India,108.0,1.0,52.0
39228,2020-06-10,Madhya Pradesh,India,9849.0,420.0,6729.0
39234,2020-06-10,Maharashtra,India,90787.0,3289.0,42638.0
39236,2020-06-10,Manipur,India,304.0,0.0,61.0
39249,2020-06-10,Meghalaya,India,43.0,1.0,13.0
39263,2020-06-10,Mizoram,India,88.0,0.0,1.0
39275,2020-06-10,Nagaland,India,127.0,0.0,10.0
39315,2020-06-10,Odisha,India,3140.0,9.0,2133.0
39348,2020-06-10,Puducherry,India,127.0,0.0,52.0
39352,2020-06-10,Punjab,India,2719.0,55.0,2167.0
39362,2020-06-10,Rajasthan,India,11245.0,255.0,8328.0
39409,2020-06-10,Sikkim,India,13.0,0.0,0.0
39430,2020-06-10,Tamil Nadu,India,34914.0,307.0,18325.0
39434,2020-06-10,Telangana,India,3920.0,148.0,1809.0
39451,2020-06-10,Tripura,India,864.0,1.0,192.0
39465,2020-06-10,Unknown,India,9227.0,0.0,0.0
39471,2020-06-10,Uttar Pradesh,India,11335.0,301.0,6669.0
39472,2020-06-10,Uttarakhand,India,1537.0,13.0,755.0
39497,2020-06-10,West Bengal,India,8985.0,415.0,3620.0
39705,2020-06-11,Andaman and Nicobar Islands,India,38.0,0.0,33.0
39706,2020-06-11,Andhra Pradesh,India,5429.0,80.0,3048.0
39722,2020-06-11,Arunachal Pradesh,India,61.0,0.0,4.0
39723,2020-06-11,Assam,India,3319.0,6.0,1432.0
39745,2020-06-11,Bihar,India,5983.0,36.0,3266.0
39778,2020-06-11,Chandigarh,India,332.0,5.0,286.0
39785,2020-06-11,Chhattisgarh,India,1398.0,6.0,447.0
39804,2020-06-11,Dadra and Nagar Haveli and Daman and Diu,India,30.0,0.0,2.0
39808,2020-06-11,Delhi,India,34687.0,1085.0,12731.0
39838,2020-06-11,Goa,India,417.0,0.0,67.0
39853,2020-06-11,Gujarat,India,22032.0,1385.0,15101.0
39858,2020-06-11,Haryana,India,5968.0,64.0,2260.0
39865,2020-06-11,Himachal Pradesh,India,470.0,6.0,280.0
39890,2020-06-11,Jammu and Kashmir,India,4574.0,52.0,1820.0
